epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,106.688,2.01023,2.4655,18.4675,0.00994,3.03379,0.0847,0.71303,0.24974,0.11997,0.0309,0.16749,0.04348,0.01884,2.08648,3.49816,13.1196,0.01457,0,7.8961e-05,7.8961e-05,0.0803387
2,215.318,1.86903,1.85514,8.37154,0.00894,0.8744,0.58521,0.49906,0.52032,0.27898,0.55108,0.47247,0.49507,0.2267,1.76815,2.01655,7.88925,0.01034,0,0.000157912,0.000157912,0.0604177
3,365.641,1.76794,1.77657,7.01311,0.00814,0.70184,0.74114,0.57163,0.66061,0.40827,0.72138,0.55103,0.63722,0.38812,1.63646,1.70678,6.34648,0.00892,0,0.000235807,0.000235807,0.0404955
4,454.335,1.71828,1.7057,6.33889,0.00784,0.67403,0.65743,0.59818,0.65867,0.4305,0.6661,0.60217,0.63809,0.39224,1.56314,1.70416,6.16938,0.00848,0,0.000312646,0.000312646,0.0205724
5,511.328,1.63573,1.6546,5.78862,0.00736,0.61788,0.66006,0.66435,0.6606,0.45197,0.69891,0.60037,0.64581,0.40847,1.56243,1.7406,5.86924,0.00844,0,0.000388428,0.000388428,0.000648169
6,594.173,1.62076,1.60288,5.48196,0.00722,0.58254,0.69024,0.62242,0.68447,0.43549,0.70622,0.62907,0.66967,0.41209,1.65181,1.72996,5.93063,0.00889,0,0.0003868,0.0003868,0.0003868
7,739.663,1.62605,1.57942,5.31933,0.00715,0.58752,0.7325,0.62947,0.69956,0.45894,0.71381,0.6223,0.65653,0.4321,1.65106,1.72828,6.14865,0.00982,0,0.00038416,0.00038416,0.00038416
8,849.88,1.55706,1.56076,5.13381,0.00653,0.54893,0.75202,0.62682,0.70599,0.47269,0.75957,0.58701,0.66949,0.44153,1.50723,1.88333,5.57351,0.00812,0,0.00038152,0.00038152,0.00038152
9,931.786,1.54299,1.55847,4.94707,0.0062,0.53693,0.66538,0.65629,0.65958,0.45281,0.70406,0.62232,0.64991,0.43342,1.53816,1.76193,6.3966,0.00835,0,0.00037888,0.00037888,0.00037888
10,1016.84,1.52554,1.56463,4.67535,0.00637,0.54728,0.70765,0.67497,0.70086,0.45256,0.69476,0.6355,0.66703,0.45035,1.59795,1.69701,5.61368,0.00827,0,0.00037624,0.00037624,0.00037624
11,1121.54,1.48185,1.49723,4.46192,0.0062,0.5325,0.74632,0.63184,0.68883,0.48571,0.78013,0.6122,0.67442,0.44395,1.51348,1.79631,5.52545,0.00809,0,0.0003736,0.0003736,0.0003736
12,1209.25,1.47764,1.47141,4.45724,0.006,0.52775,0.76813,0.64004,0.69389,0.45719,0.74298,0.62432,0.65854,0.43958,1.55265,1.71642,6.00502,0.00819,0,0.00037096,0.00037096,0.00037096
